Date,Campaign_Name,Campaign_Type,Ad_Set_Name,Placement,Impressions,Clicks,CTR_percent,Spend_INR,CPC_INR,Conversions,Conv_Rate_percent,Revenue_INR,ROAS,Audience_Type,Age_Group,Gender
13/04/2024,New Customer Acquisition,Traffic,New Customers - Interest,Instagram Stories,13100,301,2.30,3010,10.00,9,2.99,11610,3.86,Interest-Based,35-44,Female
17/04/2024,New Customer Acquisition,Traffic,New Customers - Lookalike,Facebook Feed,0,0,0.00,0,0,0,0.00,0,0.00,Lookalike 2%,25-34,Male
21/04/2024,New Customer Acquisition,Traffic,New Customers - Broad,Instagram Feed,17600,405,2.30,4050,10.00,12,2.96,15480,3.82,Broad,18-24,Male
25/04/2024,New Customer Acquisition,Traffic,New Customers - Interest,Facebook Feed,15900,366,2.30,3660,10.00,11,3.01,14190,3.88,Interest-Based,25-34,Female
29/04/2024,New Customer Acquisition,Traffic,New Customers - Lookalike,Instagram Reels,12800,294,2.30,2940,10.00,9,3.06,11610,3.95,Lookalike 2%,35-44,Male
03/05/2024,New Customer Acquisition,Traffic,New Customers - Broad,Facebook Feed,18200,419,2.30,4190,10.00,13,3.10,16770,4.00,Broad,25-34,Female
08/05/2024,New Customer Acquisition,Traffic,New Customers - Interest,Instagram Feed,16500,380,2.30,3800,10.00,12,3.16,15480,4.07,Interest-Based,18-24,Male
13/05/2024,New Customer Acquisition,Traffic,New Customers - Lookalike,Facebook Feed,14700,338,2.30,3380,10.00,10,2.96,12900,3.82,Lookalike 2%,25-34,Female
18/05/2024,New Customer Acquisition,Traffic,New Customers - Broad,Instagram Stories,17100,393,2.30,3930,10.00,12,3.05,15480,3.94,Broad,35-44,Male
23/05/2024,New Customer Acquisition,Traffic,New Customers - Interest,Facebook Feed,15400,354,2.30,3540,10.00,11,3.11,14190,4.01,Interest-Based,25-34,Male
28/05/2024,New Customer Acquisition,Traffic,New Customers - Lookalike,Instagram Feed,13600,313,2.30,3130,10.00,10,3.19,12900,4.12,Lookalike 2%,18-24,Female
02/06/2024,New Customer Acquisition,Traffic,New Customers - Broad,Facebook Feed,19100,439,2.30,4390,10.00,13,2.96,16770,3.82,Broad,25-34,Male
08/06/2024,New Customer Acquisition,Traffic,New Customers - Interest,Instagram Reels,14900,343,2.30,3430,10.00,11,3.21,14190,4.14,Interest-Based,35-44,Female
14/06/2024,New Customer Acquisition,Traffic,New Customers - Lookalike,Facebook Feed,16200,373,2.30,3730,10.00,12,3.22,15480,4.15,Lookalike 2%,25-34,Male
20/06/2024,New Customer Acquisition,Traffic,New Customers - Broad,Instagram Feed,18600,428,2.30,4280,10.00,13,3.04,16770,3.92,Broad,18-24,Female
27/06/2024,New Customer Acquisition,Traffic,New Customers - Interest,Facebook Feed,15100,347,2.30,3470,10.00,11,3.17,14190,4.09,Interest-Based,25-34,Male
03/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Facebook Feed,6200,322,5.19,3220,10.00,17,5.28,21930,6.81,Retargeting,25-34,Male
05/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 3 Day,Instagram Feed,5400,281,5.20,2810,10.00,15,5.34,19350,6.89,Retargeting,18-24,Female
08/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Facebook Feed,0,0,0.00,0,0,0,0.00,0,0.00,Retargeting,25-34,Male
09/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 1 Day,Instagram Stories,4800,250,5.21,2500,10.00,13,5.20,16770,6.71,Retargeting,35-44,Female
12/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Facebook Feed,6800,354,5.21,3540,10.00,19,5.37,24510,6.92,Retargeting,25-34,Male
16/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 3 Day,Instagram Feed,5900,307,5.20,3070,10.00,16,5.21,20640,6.72,Retargeting,18-24,Male
19/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 1 Day,Facebook Reels,4200,218,5.19,2180,10.00,11,5.05,14190,6.51,Retargeting,45+,Female
23/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Facebook Feed,7100,369,5.20,3690,10.00,20,5.42,25800,6.99,Retargeting,25-34,Female
26/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 3 Day,Instagram Stories,5100,265,5.20,2650,10.00,14,5.28,18060,6.81,Retargeting,35-44,Male
30/07/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 1 Day,Facebook Feed,4600,239,5.20,2390,10.00,12,5.02,15480,6.48,Retargeting,25-34,Male
01/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Smartphones,Facebook Feed,9800,402,41.0,4020,10.00,19,4.73,24510,6.10,Interest-Based,25-34,Male
02/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Smartphones,Instagram Feed,8200,336,4.10,3360,10.00,16,4.76,20640,6.14,Interest-Based,18-24,Female
03/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Laptops,Facebook Feed,11400,467,4.10,4670,10.00,22,4.71,28380,6.08,Interest-Based,25-34,Male
04/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Laptops,Instagram Stories,7600,312,4.11,3120,10.00,15,4.81,19350,6.20,Lookalike 2%,35-44,Female
05/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Smartphones,Facebook Reels,0,0,0.00,0,0,0,0.00,0,0,Interest-Based,18-24,Male
06/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Audio,Facebook Feed,8900,365,4.10,3650,10.00,17,4.66,21930,6.01,Interest-Based,25-34,Female
07/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Smartphones,Instagram Feed,10200,418,4.10,4180,10.00,20,4.78,25800,6.17,Lookalike 2%,25-34,Male
08/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Laptops,Facebook Feed,9400,385,4.10,3850,10.00,18,4.68,23220,6.03,Interest-Based,35-44,Male
09/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Audio,Instagram Stories,7100,291,4.10,2910,10.00,14,4.81,18060,6.21,Lookalike 2%,18-24,Female
10/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Smartphones,Facebook Feed,12100,496,4.10,4960,10.00,23,4.64,29670,5.98,Interest-Based,25-34,Male
11/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Laptops,Instagram Feed,8700,357,4.10,3570,10.00,17,4.76,21930,6.14,Lookalike 2%,35-44,Female
12/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Audio,Facebook Feed,9100,373,4.10,3730,10.00,18,4.83,23220,6.23,Interest-Based,25-34,Male
02/08/2024,Electronics Flash Sale,Conversion,Flash Sale - Smartphones,Instagram Feed,8200,336,4.10,3360,10.00,16,4.76,20640,6.14,Interest-Based,18-24,Female
01/10/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Feed,14820,562,3.79,5620,10.00,26,4.63,33540,5.97,Lookalike 2%,25-34,Male
03/10/2024,Diwali Sale 2024,Conversion,Diwali - Laptops,Instagram Feed,12400,471,3.80,4710,10.00,22,4.67,28380,6.03,Interest-Based,18-24,Female
05/10/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Feed,0,0,0.00,0,0,0,0.00,0,0.00,Lookalike 2%,35-44,Male
06/10/2024,Diwali Sale 2024,Conversion,Diwali - Audio,Instagram Stories,10800,410,3.80,4100,10.00,19,4.63,24510,5.98,Retargeting,25-34,Female
08/10/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Feed,16200,616,3.80,6160,10.00,29,4.71,37410,6.07,Lookalike 2%,25-34,Male
10/10/2024,Diwali Sale 2024,Conversion,Diwali - Laptops,Instagram Feed,13700,521,3.80,5210,10.00,24,4.61,30960,5.94,Interest-Based,35-44,Male
12/10/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Reels,11900,452,3.80,4520,10.00,21,4.65,27090,5.99,Retargeting,18-24,Female
14/10/2024,Diwali Sale 2024,Conversion,Diwali - Audio,Facebook Feed,14500,551,3.80,5510,10.00,26,4.72,33540,6.09,Lookalike 2%,25-34,Male
16/10/2024,Diwali Sale 2024,Conversion,Diwali - Laptops,Instagram Stories,12100,460,3.80,4600,10.00,21,4.57,27090,5.89,Interest-Based,35-44,Female
18/10/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Feed,17400,661,3.80,6610,10.00,31,4.69,39990,6.05,Lookalike 2%,25-34,Male
20/10/2024,Diwali Sale 2024,Conversion,Diwali - Audio,Instagram Feed,13200,502,3.80,5020,10.00,23,4.58,29670,5.91,Retargeting,18-24,Male
22/10/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Feed,15600,593,3.80,5930,10.00,28,4.72,36120,6.09,Lookalike 2%,25-34,Female
25/10/2024,Diwali Sale 2024,Conversion,Diwali - Laptops,Instagram Reels,11400,433,3.80,4330,10.00,20,4.62,25800,5.96,Interest-Based,35-44,Male
28/10/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Feed,16800,638,3.80,6380,10.00,30,4.70,38700,6.07,Lookalike 2%,25-34,Male
30/10/2024,Diwali Sale 2024,Conversion,Diwali - Audio,Instagram Feed,12800,486,3.80,4860,10.00,23,4.73,29670,6.10,Retargeting,18-24,Female
01/11/2024,Diwali Sale 2024,Conversion,Diwali - Smartphones,Facebook Feed,13400,509,3.80,5090,10.00,24,4.72,30960,6.08,Lookalike 2%,25-34,Male
05/11/2024,Diwali Sale 2024,Conversion,Diwali - Laptops,Instagram Stories,11600,441,3.80,4410,10.00,20,4.54,25800,5.85,Interest-Based,35-44,Female
01/11/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Facebook Feed,18400,644,3.50,6440,10.00,29,4.50,37410,5.81,Lookalike 2%,25-34,Male
03/11/2024,Festive Season Mega Sale,Conversion,Festive - Laptops,Instagram Feed,15200,532,3.50,5320,10.00,24,4.51,30960,5.82,Interest-Based,18-24,Female
05/11/2024,Festive Season Mega Sale,Conversion,Festive - Audio,Facebook Feed,19800,693,3.50,6930,10.00,31,4.47,39990,5.77,Lookalike 2%,25-34,Male
07/11/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Instagram Stories,14100,493,3.50,4930,10.00,22,4.46,28380,5.76,Retargeting,35-44,Female
09/11/2024,Festive Season Mega Sale,Conversion,Festive - Laptops,Facebook Reels,0,0,0.00,0,0,0,0.00,0,0.00,Interest-Based,18-24,Male
11/11/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Facebook Feed,21200,742,3.50,7420,10.00,33,4.45,42570,5.74,Lookalike 2%,25-34,Female
13/11/2024,Festive Season Mega Sale,Conversion,Festive - Audio,Instagram Feed,16800,588,3.50,5880,10.00,26,4.42,33540,5.70,Interest-Based,25-34,Male
15/11/2024,Festive Season Mega Sale,Conversion,Festive - Laptops,Facebook Feed,17900,626,3.50,6260,10.00,28,4.47,36120,5.77,Lookalike 2%,35-44,Female
17/11/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Instagram Stories,13600,476,3.50,4760,10.00,21,4.41,27090,5.69,Retargeting,18-24,Male
19/11/2024,Festive Season Mega Sale,Conversion,Festive - Audio,Facebook Feed,20400,714,3.50,7140,10.00,32,4.48,41280,5.78,Lookalike 2%,25-34,Male
22/11/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Instagram Feed,18100,633,3.50,6330,10.00,28,4.42,36120,5.71,Interest-Based,25-34,Female
25/11/2024,Festive Season Mega Sale,Conversion,Festive - Laptops,Facebook Feed,16400,574,3.50,5740,10.00,26,4.53,33540,5.84,Lookalike 2%,35-44,Male
28/11/2024,Festive Season Mega Sale,Conversion,Festive - Audio,Instagram Reels,14800,518,3.50,5180,10.00,23,4.44,29670,5.73,Retargeting,18-24,Female
30/11/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Facebook Feed,19200,672,3.50,6720,10.00,30,4.46,38700,5.76,Lookalike 2%,25-34,Male
03/12/2024,Festive Season Mega Sale,Conversion,Festive - Laptops,Instagram Feed,17100,599,3.50,5990,10.00,27,4.51,34830,5.81,Interest-Based,35-44,Female
06/12/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Facebook Feed,20800,728,3.50,7280,10.00,32,4.40,41280,5.67,Lookalike 2%,25-34,Male
09/12/2024,Festive Season Mega Sale,Conversion,Festive - Audio,Instagram Stories,15400,539,3.50,5390,10.00,24,4.45,30960,5.74,Retargeting,18-24,Female
12/12/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Facebook Feed,18700,654,3.50,6540,10.00,29,4.43,37410,5.72,Lookalike 2%,35-44,Male
15/12/2024,Festive Season Mega Sale,Conversion,Festive - Laptops,Instagram Feed,16200,567,3.50,5670,10.00,25,4.41,32250,5.69,Interest-Based,25-34,Female
18/12/2024,Festive Season Mega Sale,Conversion,Festive - Audio,Facebook Feed,19400,679,3.50,6790,10.00,30,4.42,38700,5.70,Lookalike 2%,25-34,Male
21/12/2024,Festive Season Mega Sale,Conversion,Festive - Smartphones,Instagram Reels,14200,497,3.50,4970,10.00,22,4.43,28380,5.71,Retargeting,18-24,Female
26/12/2024,Festive Season Mega Sale,Conversion,Festive - Laptops,Facebook Feed,17600,616,3.50,6160,10.00,27,4.38,34830,5.65,Lookalike 2%,35-44,Male
29/12/2024,Festive Season Mega Sale,Conversion,Festive - Audio,Instagram Feed,15900,556,3.50,5560,10.00,25,4.50,32250,5.80,Interest-Based,25-34,Female
02/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Facebook Feed,6400,333,5.20,3330,10.00,18,5.41,23220,6.97,Retargeting,25-34,Male
05/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 3 Day,Instagram Feed,5600,291,5.20,2910,10.00,15,5.15,19350,6.65,Retargeting,35-44,Female
08/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 1 Day,Facebook Feed,4900,255,5.20,2550,10.00,14,5.49,18060,7.08,Retargeting,18-24,Male
12/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Facebook Reels,6100,317,5.20,3170,10.00,17,5.36,21930,6.92,Retargeting,25-34,Female
16/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 3 Day,Instagram Stories,5200,270,5.19,2700,10.00,14,5.19,18060,6.69,Retargeting,35-44,Male
20/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 1 Day,Facebook Feed,4400,229,5.20,2290,10.00,12,5.24,15480,6.76,Retargeting,18-24,Female
25/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Instagram Feed,6700,348,5.19,3480,10.00,19,5.46,24510,7.04,Retargeting,25-34,Male
29/08/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 3 Day,Facebook Feed,5800,302,5.21,3020,10.00,16,5.30,20640,6.83,Retargeting,35-44,Female
04/09/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 1 Day,Instagram Feed,4700,244,5.19,2440,10.00,13,5.33,16770,6.87,Retargeting,18-24,Male
10/09/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 7 Day,Facebook Feed,6300,328,5.21,3280,10.00,18,5.49,23220,7.08,Retargeting,25-34,Female
17/09/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 3 Day,Instagram Stories,5300,276,5.21,2760,10.00,15,5.43,19350,7.01,Retargeting,35-44,Male
24/09/2024,Retargeting - Cart Abandoners,Retargeting,Cart Abandoners - 1 Day,Facebook Feed,4500,234,5.20,2340,10.00,12,5.13,15480,6.62,Retargeting,25-34,Female
